Número,Texto,Bloco,Resposta Correta,Arquivo Prova
20,"Mulher, 55 anos, com diagnóstico de pielonefrite. Antibiograma colhido apontou germe sensível apenas para vancomicina, de uso exclusivamente endovenoso. O médico indicou a internação da paciente, que se negou terminantemente a ser internada. O estado geral da paciente é bom, está consciente e orientada, demonstrando compreender todos os riscos inerentes à sua recusa em internar. Qual deverá ser a atitude do médico?  (A) Fazer medicação parenteral para sedar a paciente e realizar a internação e o tratamento de modo compulsório. (B) Prescrever antibióticos via oral de amplo espectro para minimizar os riscos. (C) Respeitar o desejo da paciente, uma vez que ela tem direito a recusar tratamento se não estiver em risco iminente de morte. (D) Recusar-se a acompanhar a paciente, transferindo a responsabilidade para outro colega médico.",,C,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
21,"O resgate e cuidado integral das pessoas vulneráveis como: crianças, portadores de transtornos mentais, idosos, doentes em fase terminal ou em estado vegetativo persistente, devem ser garantidos por meio de mecanismos de proteção. Aponte nas alternativas abaixo o mecanismo prioritário de forma de superação de vulnerabilidade: (A) Matriciamento. (B) Ambiência. (C) Gestão do cuidado. (D) Acolhimento.",,D,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
22,"Na organização do processo de trabalho das equipes de saúde da família, as equipes de apoio matricial (NASF – Núcleo de Apoio à Saúde da Família) têm como responsabilidade:  (A) Compartilhar e apoiar as práticas em saúde das equipes de saúde da família. (B) O atendimento básico integral às famílias da área de abrangência da equipe de saúde da família. (C) O planejamento e a execução das ações de saúde na área de abrangência da equipe de saúde da família. (D) A gestão do cuidado das famílias da área de abrangência da equipe de saúde da família.",,A,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
23,"O gráfico abaixo mostra a esperança de vida ao nascer, em anos, de 1980 a 2100.               - Esperanças de vida ao nascer estimadas e projetadas, Brasil, 1980-",,B,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
24,"Homem, 66 anos, portador de hipertensão arterial sistêmica e diabetes mellitus, consulta com seu médico de família e traz exames realizados, os quais demonstram a presença de microalbuminúria positiva. Como conduta o médico introduz enalapril ao esquema terapêutico. A que nível de prevenção refere-se tal conduta?  (A) Prevenção Terciária. (B) Prevenção Secundária. (C) Prevenção Primária. (D) Prevenção Quaternária.       55 60 65 70 75 80 85 90 1980 1990 2000 2010 2020 2030 2040 2050 2060 2070 2080 2090 2100 Homem Mulher Ambos",,A,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
25,"Paciente foi diagnosticado como portador do vírus HIV, assintomático, há 3 anos. Abandonou o tratamento após 1 ano. Há 10 meses começou a apresentar febre, diarreias ocasionais, emagrecimento e manchas na pele. Há 6 dias procurou o PS com muita tosse, expectoração mucopurulenta e com estrias de sangue. Internado, apresentava quadro de intensa dificuldade respiratória e cianose, com radiografia de tórax compatível com tuberculose e broncopneumonia. Faleceu por parada cárdio- respiratória, aos 26 anos. No atestado de óbito o que deve constar no campo da causa básica do óbito? (A) Insuficiência respiratória. (B) Tuberculose pulmonar. (C) Infecção por HIV. (D) AIDS.",,D,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
26,"Um determinado município de médio porte, há 2 décadas, apresenta nível de saúde elevado segundo indicadores recomendados pela Organização Mundial de Saúde (OMS). A equipe técnica da Secretaria de Saúde do Município está estudando a adoção de novos indicadores que possibilitem avaliar os resultados em saúde com maior precisão e qualificar a tomada de decisão. Qual dos indicadores de saúde propostos melhor responderá a essa demanda?  (A) Índice de Desenvolvimento Humano. (B) Anos Potenciais de Vida Perdidos. (C) Anos de Vida Perdidos Ajustados por Incapacidade. (D) Esperança de Vida ao Nascer.",,C,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
27,"A figura abaixo representa a tendência da mortalidade em um município de uma determinada região do Brasil, no período de 1980 a 2000. (Eixo vertical = proporções de mortes; Eixo horizontal = faixas etárias)             Analisando o gráfico, pode-se verificar que se trata de curvas de Nelson Moraes do tipo: (A) I, que significa um nível de saúde muito baixo. (B) II, que significa um nível de saúde baixo. (C) III, que significa um nível de saúde regular. (D) IV, que significa um nível de saúde elevado.",,D,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
28,"Em um município, no ano de 2010, ocorreram um total de 6.507 óbitos, dos quais 156 em menores de 1 de idade e 112 deles em menores de 28 dias de vida. No mesmo ano nasceram 14.935 nascidos vivos e 120 natimortos. Podemos com estes dados afirmar que, neste município, em 2010: (A) O coeficiente de mortalidade infantil atingiu valor abaixo de 12 por mil nascidos vivos. (B) O coeficiente de mortalidade neonatal é inferior ao de mortalidade pós-neonatal. (C) A mortalidade proporcional de menores de um ano é superior a 5%. (D) A elevada proporção de óbitos neonatais, em relação ao total de óbitos infantis, é indicador de precária condição de vida.",,A,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
29,"A área da vigilância em saúde que abrange o controle de bens de consumo que direta ou indiretamente se relacionem com a saúde, compreendidas todas as etapas e processos da produção ao consumo e o controle da prestação de serviços, refere-se à vigilância: (A) nutricional. (B) sanitária. (C) ambiental. (D) epidemiológica.",,B,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
30,"O gráfico abaixo representa a incidência mensal de meningite meningocócica no município de Nova Americana do Sul, que tem aproximadamente 220.000 mil habitantes, no período de janeiro de 2007 a julho de 2009.              Qual a ação prioritária a ser empreendida pela área de Vigilância Epidemiológica?  (A) Organizar campanha de vacinação para a faixa etária com maior risco até o final de 2009. (B) Manter o acompanhamento mensal, considerando que as variações observadas são sazonais e esperadas. (C) Construir o diagrama de controle para definir o nível endêmico de ocorrência da doença. (D) Intensificar a estratégia de busca ativa de casos novos para realizar o bloqueio.",,C,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
31,"Perguntou-se a mulheres grávidas que eram acompanhadas em uma clínica de assistência pré-natal entre 1949 e 1953, sobre seu hábito de fumar. Ao darem à luz, um prontuário foi aberto para cada uma das crianças ao nascimento, e informações sobre futuras admissões hospitalares dos filhos dessas mães foram obtidas. Observou-se que filhos de mães que fumavam na gravidez apresentavam um número significativamente maior de admissões hospitalares por bronquite e pneumonia se comparado àqueles de mães que não fumavam. Que tipo de estudo foi realizado e qual é a medida empregada na análise?  (A) Estudo de caso-controle; odds ratio. (B) Estudo de coorte; risco relativo e atribuível. (C) Estudo transversal; razão de prevalências. (D) Ensaio clínico controlado; odds ratio.",,B,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
32,Em relação aos testes diagnósticos podemos afirmar que: (A) A sensibilidade de um teste diagnóstico depende da prevalência da doença em um determinado local e em um determinado tempo. (B) Um teste diagnóstico muito específico terá muito falsos- positivos. (C) Um teste muito sensível tem muito falsos-negativos. (D) Antes de solicitar um teste diagnóstico o médico deve levar em conta a sensibilidade e especificidade do teste.  0 10 20 30 40 50 60 70 80 < 1 ano 1 a 4 5 a 19 20 a 49 50 + 1980 1990 2000,,D,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
33,"Durante exposição agropecuária no município de São Paulo um adolescente foi mordido na mão por bovino. Além dos cuidados gerais qual é a conduta recomendada pelo Ministério da Saúde?  (A) Aplicar soro e vacina antirrábica e reforço da vacinação antitetânica. (B) Aplicar três doses de vacina antirrábica e observar o animal por 10 dias. (C) Observar o animal por sete dias, administrar antibióticos e antiviral específico. (D) Identificar o animal, aplicar soro e vacina antitetânica.",,A,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
34,"Mãe de 31 anos, filhos de 10 anos e 8 anos, são os contatos intradomiciliares do pai de 38 anos, que teve diagnóstico confirmado de hanseníase. A conduta indicada para esses familiares foi a aplicação de duas doses da vacina BCG-ID com intervalo de 6 meses. Esta conduta se aplica à(s):  (A) Formas indiferenciada e virchoviana. (B) Qualquer forma de hanseníase. (C) Forma multibacilar. (D) Formas virchoviana e tuberculoide.",,B,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
35,"São determinantes sociais das Doenças Crônicas Não Transmissíveis (DCNT), além das desigualdades sociais, das diferenças no acesso aos bens e aos serviços, da baixa escolaridade, das desigualdades no acesso à informação, dos fatores de risco modificáveis:  (A) Tabagismo, idade, consumo excessivo de sal, obesidade e dislipidemias. (B) Tabagismo, sexo, consumo de bebida alcoólica, sedentarismo e alimentação inadequada. (C) Tabagismo, etnia, consumo excessivo de sal, obesidade e dislipidemias. (D) Tabagismo, consumo de bebida alcoólica, sedentarismo e alimentação inadequada.",,D,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
36,"Mulher, 22 anos, gestante de 14 semanas, chega à Unidade de Saúde da Família com a indicação para receber vacina contra raiva. Sua carteira vacinal mostra que a paciente não recebeu as vacinas dupla adulto e tríplice viral. Qual a melhor conduta?  (A) Adiar as vacinas para o período puerperal. (B) Administrar a vacina contra a raiva e dupla adulto. (C) Administrar a dupla adulto e adiar as demais. (D) Administrar apenas a vacina contra raiva e a tríplice viral.",,B,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
37,"Gestante, 15 semanas de gestação, apresenta VDRL de 1:2. Histórico de diagnóstico anterior de sífilis sem tratamento documentado e com estágio da doença desconhecido. A conduta preconizada pelo Ministério da Saúde é:  (A) Tratar a gestante com penicilina benzatina 7,2 milhões UI, acompanhando com VDRL mensal até o parto, e tratar o parceiro. (B) Repetir o VDRL e solicitar teste específico para a gestante e o parceiro, antes de iniciar o tratamento. (C) Solicitar VDRL para o parceiro e tratar a gestante com penicilina benzatina 4,8 milhões UI. (D) Tratar o casal com penicilina benzatina 4,8 milhões UI e solicitar teste específico para acompanhamento.",,A,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
38,"Homem, 42 anos, referindo mal estar geral, cansaço exagerado, inapetência, fraqueza muscular, cólicas abdominais esporádicas e intensas, flatulência alternando com fezes líquidas e impotência sexual (sic). Relata que trabalha em fábrica de baterias. Esse quadro clínico e os antecedentes sugerem qual diagnóstico? Como confirmá-lo?  (A) Intoxicação crônica por chumbo; solicitar dosagem de ácido delta aminolevulínico na urina. (B) Intoxicação por estanho utilizado na solda; solicitar dosagem de estanho no sangue. (C) Anemia profunda causada pela exposição ocupacional a ácido sulfúrico; solicitar dosagem de ácido sulfúrico no sangue. (D) Anemia e nefropatia profunda causada por exposição ocupacional ao chumbo; dosagem de chumbo na urina.",,A,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
39,Compare os medicamentos abaixo e verifique qual a melhor opção para o tratamento.  Medica- mento Eficácia Segurança Conveniência Custo Eventos adversos Intera- ções Via Inter- valo Poso- logia  Medica- mento 1 ++++ + ++ VO 24 h 100 mg ++ Medica- mento 2 ++++ ++ ++ VO 24 h 100 mg ++++ Medica- mento 3 +++ ++ + VO 12 h 50 mg ++ Medica- mento 4 ++++ - ++ IM 12 h 50 mg +  (A) Medicamento 1 (B) Medicamento 2 (C) Medicamento 3 (D) Medicamento 4,,A,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
40,"Paciente de 18 anos, vítima de um projétil de arma de fogo na região do tórax, dá entrada no PS de uma pequena cidade. Após dar o atendimento inicial, o paciente não resiste aos ferimentos, vindo a falecer. Como não havia Instituto Médico Legal de referência próximo, o delegado designa o médico plantonista para proceder o exame necroscópico, emitir laudo médico-legal e assinar a declaração de óbito (DO). Pode-se afirmar que:  (A) O médico é obrigado a fazer o diagnóstico de óbito e fazer o exame necroscópico, mas não é obrigado a emitir laudo ou DO. (B) O médico é obrigado a fazer o diagnóstico de óbito e a emitir DO, mas não é obrigado a fazer o exame necroscópico e a emitir laudo. (C) O médico é obrigado a fazer todos os procedimentos para os quais foi designado. (D) O médico é obrigado apenas a fazer o diagnóstico de óbito.",,C,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
41,"Mulher, 70 anos, apresenta sopro sistólico de ejeção, audível no precórdio, em crescendo e decrescendo iniciando após a primeira bulha, com pico mesossistólico e terminando antes da segunda bulha. Esses achados são característicos de: (A) Insuficiência Mitral (B) Estenose Mitral (C) Persistência do Canal Arterial (D) Estenose Aórtica",,D,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
42,"Homem, 58 anos, com antecedente de dislipidemia e tabagismo, apresenta quadro de dor epigástrica em queimação, iniciada em repouso, de forte intensidade, com irradiação para região precordial associada à náusea e sudorese há 7 horas. Eletrocardiograma (ECG) de admissão constatou supradesnivelamento do segmento ST em DII, DIII e AVF e infradesnivelamento de V1-V2. Enquanto aguardava terapêutica definitiva paciente evoluiu rapidamente com queda de níveis pressóricos (PA = 60 x 30 mmHg) associada à dispneia intensa, sopro sistólico (3+/6+) em foco mitral e crepitação nos 2/3 inferiores de ambos os pulmões. A localização deste infarto agudo do miocárdio e possível complicação são:  (A) Parede lateral; ruptura de septo interventricular. (B) Parede anterior; ruptura de músculo papilar. (C) Parede ínfero dorsal; ruptura de músculo papilar. (D) Parede inferior; ruptura de septo interventricular.",,C,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
43,"Homem, 62 anos, refere dispneia aos esforços e edema de membros inferiores de caráter progressivo há 6 meses. Ao exame, apresenta ictus cordis globoso e desviado para a esquerda, estertores crepitantes em bases de ambos hemitórax, turgência jugular, hepatomegalia dolorosa e edema de membros inferiores (3+/4+) até raiz da coxa. Dosagens séricas:  Exame Resultado Valor de Referência Creatinina 1,1 mg/dL 0,7 a 1,3 mg/dL Potássio 5,0 mEq/L 3,5 - 5,5 mEq/L Sódio 121 mEq/L 135 - 145 mEq/L  Diante destes resultados, a conduta indicada é:  (A) Repor sódio, pois seu valor sérico baixo é decorrente da produção excessiva de vasopressina. (B) Não repor sódio, pois seu valor sérico baixo é decorrente da hiperativação do sistema renina-angiotensina-aldosterona. (C) Repor sódio, pois seu valor sérico baixo é decorrente da hiperativação do sistema renina-angiotensina-aldosterona. (D) Não repor sódio, pois seu valor sérico baixo é decorrente da produção excessiva de vasopressina.",,D,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
44,"Homem, 18 anos, refere que nos últimos meses vem apresentando medidas de pressão arterial (PA) elevadas, em torno de 140 x 100 mmHg, sem tratamento prévio para hipertensão arterial. Não faz atividade física regular e nunca fumou. Ao exame físico: BEG, corado, hidratado, afebril, eupneico, aparelho respiratório e aparelho cardiovascular sem alterações. Três medidas de PA na posição sentada: 138x98mmHg / 136x100mmHg / 130x98mmHg. Abdômen normal e pulsos palpáveis. Fundoscopia normal. IMC = 26 Kg/m2. Dosagem sérica, exame de urina e ECG:  Exame Resultado Valor de referência Glicemia 80 mg/dL 70 a 100 mg/dL Colesterol total 190 mg/dL < 200 mg/dL HDL 55 mg/dL > ou = 40 mg/dL Triglicérides 148 mg/dL < 150 mg/dL Creatinina 1,0 mg/dL 0,7 a 1,3 mg/dL Potássio 4,2 mEq/L 3,5 a 5,5 mEq/L Ácido úrico 3,2 mg/dL 3,4 a 7,0 mg/dL Urina I Sem alterações Sem alterações  (CONTINUA) (CONTINUAÇÃO DA QUESTÃO 44)                                As medidas da PA foram repetidas em 15 dias, na posição sentada: 130 x 98 mmHg / 132 x 102 mmHg / 134 x 100 mmHg. Além de introduzir o tratamento não medicamentoso, a melhor conduta é: (A) Reavaliar a cada 6 meses. (B) Introduzir tratamento com betabloqueador. (C) Introduzir tratamento com inibidor da enzima de conversão da angiotensina. (D) Avaliar hipertensão secundária.",,D,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
45,"Mulher, 16 anos, sem doenças anteriores, queixa-se de inchaço pelo corpo e urina avermelhada há 5 dias. Referiu febre e dor de garganta há 15 dias que melhorou com analgésicos. Ao exame físico: PA = 168 x 104 mmHg. Edema generalizado. Raros estertores crepitantes em bases pulmonares. O exame de urina revelou: Exame Resultado Valor de referência Proteína 4+/4+ (> 500 mg/dL) Negativo (< 10 mg/dL) Proteinúria de 24h 3,4 g até 0,15 g Hemácias > 100/campo < 3 a 5/campo Leucócitos 80/campo 5/campo Creatinina 0,8 mg/dL 0,7 a 1,3 mg/dL Albuminemia 3,8 g/dL 3,5 – 5,5 g/dL C3 40 mg/dL 90 – 180 mg/dL C4 6 mg/dL 10 - 40 mg/dL O quadro clínico-laboratorial é compatível com: (A) Síndrome Nefrítica Aguda. (B) Síndrome Nefrótica com componente nefrítico. (C) Glomerulonefrite Difusa Aguda pós-infecciosa. (D) Glomerulonefrite Rapidamente Progressiva.",,A,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
46,"Trabalhador rural do interior de São Paulo, 22 anos, apresentou erupção de bolhas flácidas recorrentes, com surgimento de lesões na face, tronco superior e couro cabeludo, que duravam algumas semanas, exulceravam e evoluíam com crostas, sem lesões nas mucosas. Foi realizada biópsia da lesão e instaurada corticoterapia sistêmica com melhora do quadro em dois meses. Este quadro corresponde a:  (A) Pênfigo vulgar, com o achado de depósito de IgG na região subepidérmica ao exame de  imunofluorescência da lesão. (B) Pênfigo vulgar e espera-se que o sinal de Nikolski esteja ausente. (C) Pênfigo foliáceo e o exame histopatológico mostrou bolha subcórnea. (D) Dermatose por IgA linear e o exame histopatológico mostrou bolha subepidérmica com depósito de IgA granular na junção dermoepidérmica.",,C,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
47,"Mulher, 22 anos, com queixa de fraqueza progressiva há 20 dias. Nas últimas semanas tem apresentado dificuldade progressiva para realizar exercícios comuns, como caminhar de casa até o ponto de ônibus ou subir os dois lances de escada no trabalho. Exame físico: palidez cutâneo-mucosa moderada, icterícia discreta, ictus cordis visível e impulsivo com sopro holossistólico pancardíaco, PA = 130 x 60 mmHg, FC =  96 bpm, baço palpável no rebordo costal esquerdo. Os principais achados do hemomgrama, além da presença de esferócitos e policromatofilia no esfregaço do sangue periférico e exames relevantes, seguem abaixo.  Exame Resultado Valor de referência Hemoglobina 6,5 g/dL 12 - 16 g/dL Hematócrito 19% 35 - 47% Reticulócitos 11% 0,5 - 1,8% Glóbulos brancos Neutrófilos Linfócitos Monócitos 7.500/mm3 60% 36% 4% 4.000 - 10.000/mm3 45 – 70% 20 – 40% 4 – 8% Plaquetas 158.000/ mm3 150.000 -  450.000/mm3 Bilirrubina total 2,5 mg/dL 0,2 - 1,0 mg/dL Bilirrubina indireta 1,8 mg/dL 0,2 - 0,8 mg/dL Antiglobulina direta para IgG e C3d. positivo 3+ negativo  Considerando que a paciente tem anemia, o principal mecanismo responsável por ela é:  (A) Hemólise intravascular. (B) Destruição extravascular de hemácias. (C) Microangiopatia trombótica. (D) Ativação direta do sistema complemento.",,B,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
48,"Homem, 75 anos, sem antecedentes de sangramento, em uso de anticoagulação oral com dicumarínicos por fibrilação atrial crônica. Dá entrada no PS com hematúria macroscópica intermitente e discretos hematomas pelo corpo, em diferentes fases de reabsorção. Última urina (há 1 hora) estava clara sem evidências de hematúria. Hemodinamicamente estável.  Principais resultados laboratoriais: Exame Resultado Valor de referência Hemoglobina 11,1 g/dL 13 - 18 g/dL VCM 91 µ3 80 - 95 µ3 Tempo de protrombina > 300 segundos 11 - 14,6 segundos Razão normalizada internacional (RNI, IIN ou INR) incoagulável. 2,5 - 3,5 em uso de anti-caogulante A conduta imediata mais indicada é: (A) Reversão com plasma fresco congelado, seguido por redução de dose do dicumarínico. (B) Interromper o tratamento com dicumarínico e introduzir heparina de baixo peso molecular. (C) Interromper tratamento com dicumarínicos e dar ao paciente 2,5 a 5 mg de vitamina K por via oral. (D) Reversão com complexo protrombínico, seguido por redução de dose do dicumarínico.",,C,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
49,"Homem, 65 anos, queixa de dor lombar com irradiação para membro inferior direito há 1 dia, após esforço físico extremo. Ao exame físico apresenta dificuldade para andar na ponta do pé direito, diminuição da sensibilidade na face lateral da perna e pé direito. Lasegue positivo à direita e ausência do reflexo aquileu ipsilateral. A raiz nervosa comprometida é: (A) L3 (B) L5 (C) L4 (D) S1",,D,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
50,"Mulher, 60 anos, iniciou há 6 meses diarreia pastosa, sem emagrecimento, sem febre, sem sangramento, predominantemente diurna, com leve dor abdominal que alivia após a evacuação. O diagnóstico clínico e a investigação necessária são: (A) Doença celíaca; endoscopia digestiva alta. (B) Insuficiência pancreática exócrina; tomografia de abdome. (C) Doença inflamatória intestinal; colonoscopia. (D) Síndrome do intestino irritável; colonoscopia.",,D,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
51,"Homem, 34 anos, asmático desde a infância, sem outras comorbidades. Apresentou exacerbação da asma há 30 dias, quando foi atendido no PS e liberado com prednisona 40 mg/dia por 5 dias, passando a usar regularmente a associação Budesonida /Formoterol 400/12 mcg de 12/12 h. Na última semana não teve sintomas noturnos e fez inalação com broncodilatador em 3 ocasiões para alívio dos sintomas diurnos. A espirometria apresenta Volume Expiratório Forçado no primeiro segundo (VEF1) de 2,23 L (72% do previsto), com resposta positiva ao broncodilatador (14% de aumento do VEF1 pós- broncodilatador). Após analisar a condição de controle da asma deste paciente, a conduta é: (A) Manter a mesma dose da medicação de manutenção. (B) Prescrever outro pulso de prednisona (40 mg/dia por 5 dias). (C) Aumentar a dose do corticoide inalatório ou acrescentar uma terceira droga anti-asmática. (D) Substituir a medicação inalatória de alívio para broncodilatadores por via sistêmica.",,C,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
52,"Jovem, 25 anos, não tabagista e não etilista, procurou a UBS com quadro de  febre, mialgia, tosse seca e rinorreia há 1 dia. Foi orientado a realizar repouso domiciliar e medicado com sintomáticos. Após 2 dias procurou novamente assistência médica referindo persistência da febre e da mialgia e aparecimento de dispneia. Paciente apresentava PA = 130x80mmHg, FR = 32 ipm, FC = 120 bpm, índice de massa corpórea de 41 Kg/m2, saturação de oxigênio de 90%, radiografia de tórax com opacidade heterogênea em terço médio de pulmão esquerdo, hemoglobina = 14,2g%, leucócitos=13.500 (mielócitos 2, neutrófilos 60, basófilos 0, eosinófilos 2, linfócitos 30, monócitos 5), plaquetas=170.000/mm3. O diagnóstico e tratamento são: (A) Pneumonia grave adquirida na comunidade; beta-lactâmico e macrolídeo. (B) Síndrome respiratória aguda grave; oseltamivir, beta- latâmico e macrolídeo. (C) Dengue; hidratação oral e tratamento sintomático. (D) Tromboembolismo pulmonar; anticoagulação plena.",,B,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
53,"Mulher, 30 anos, com queixa de nervosismo, palpitações, perda de peso e insônia há 2 meses. Ao exame físico: emagrecida, FC = 120 bpm, PA = 140 x 60 mmHg, com aumento difuso de tireoide (2 vezes do normal). As dosagens hormonais mostravam TSH (hormônio tireoestimulante) de 0,001 µUI/mL (valor de referência: 0,5 e 5,0 µUI/mL) e tiroxina livre (T4 livre) de 6 ng/dL (valor de referência: 0,8 - 1,7 ng/dL). Trata-se de:  (A) Hipertireoidismo primário. (B) Hipotireoidismo secundário. (C) Hipertireoidismo secundário. (D) Hipotireoidismo primário.",,A,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
54,"Mulher, 24 anos, com queixa de poliúria, polidipsia e perda de peso de 12 Kg nos últimos 3 meses. Nega tratamentos ou internações prévias. Ao exame físico: IMC=34 Kg/m², FC=84 bpm, PA=110x75mmHg, sem outros achados relevantes. Exames complementares:  Exame Resultado Valor de referência Glicemia de jejum 290 mg/dL 70 - 100 mg/dL TGO 51 UI/mL até 31 UI/mL TGP 43 UI/mL até 31 UI/mL gamaGT 23 UI/mL 8 - 41 UI/mL  Além da orientação para mudanças de hábitos alimentares e introdução de atividade física, qual medicação inicial deverá ser instituída?  (A) Insulina humana. (B) Sulfoniluréia. (C) Insulina aspártica. (D) Metformina.",,D,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
55,"Mulher, 73 anos, hipertensa em uso de captopril 25mg, 3x ao dia e tabagista há 40 anos-maço. Sem antecedentes de cirurgias ou traumas recentes e distúrbios de coagulação. Acordou hoje às 7h com dificuldade para caminhar e fraqueza no hemicorpo esquerdo. Deu entrada no PS às 8:30h com: PA = 160x85mmHg, FC = 72 bpm rítmica, ausência de sopros cardíacos ou carotídeos, hemiparesia completa desproporcionada de predomínio bráquio-facial, hemihipoestesia tátil e dolorosa esquerda, hemianopsia homônima esquerda e leve disartria. Sem alterações da movimentação ocular, afasia ou negligência. O escore da NIH stroke scale foi de 14. Foi realizada tomografia de crânio às 9h que foi normal, glicemia capilar = 90mg/dL, hemograma e coagulograma normais. A conduta adequada na fase aguda desse quadro é: (A) Trombólise com estreptoquinase. (B) Trombólise com alteplase (RT-PA). (C) Antiagregação plaquetária com AAS. (D) Controle de PA com o uso de nitroprussiato de sódio.",,B,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
56,"Mulher, 40 anos, solteira, sem irmãos e filhos, ficou órfã há 1 ano. Fazia uso de amitriptilina 100 mg/dia, clonazepan 2 mg de 8/8h, levomepromazina 20 gotas à noite e haloperidol 15 gotas/dia, mas parou de tomar todas as medicações, por conta própria, há 3 meses. Por volta do meio dia, o agente comunitário do Posto de Saúde do seu bairro realizou vista domiciliar e relatou o seguinte quadro: sala da casa com TV ligada, janelas fechadas, roupas abandonadas, cinzeiros cheios com cigarros parcialmente tragados, garrafas de cerveja, restos de alimentos e moscas. A paciente encontrava-se de pijamas, com expressão abatida, dizendo: “minha vida está um caos”.  Frente a essas informações qual o diagnóstico mais provável para a paciente? (A) Transtorno depressivo sem sintomas psicóticos. (B) Transtorno de Stress pós-traumático. (C) Transtorno Esquizofrênico. (D) Psicose afetiva.",,A,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
57,"Mulher, 38 anos, é trazida ao PS acompanhada de familiar que relata quadro de diarreia líquida, vômitos, muitos tremores e mal estar há 1 semana. Há 2 dias “o braço começou a repuxar”. Hoje, está confusa e apresentou crise convulsiva. Vinha em tratamento psiquiátrico, pois tinha alternância do humor que melhorou com tratamento que não soube especificar. Ao exame físico: paciente desidratada, desorientada, afebril, PA = 90x60mmHg e com fraqueza muscular. A hipótese e a conduta diagnóstica são: (A) Hipotireoidismo grave e dosagem de TSH (B) Intoxicação por neuroléptico e dosagem de benzodiazepínicos (C) Intoxicação por lítio e dosagem de litemia (D) Intoxicação alimentar e realizar coprocultura.",,C,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
58,"Mulher, 85 anos, foi à UBS com queixa de dificuldade de iniciar e manter o sono. Utiliza medicamentos para o controle da Hipertesão Arterial e Diabetis Mellitus e Diazepam (10 mg à noite), prescrito há 10 anos “desde que o esposo faleceu” e mantém até os dias atuais. A conduta indicada é: (A) Manter o diazepam e na mesma dosagem, por conta da relação psicológica do envelhecimento e farmacocinética do benzodiazepínico. (B) Manter o diazepam e na mesma dosagem, pois sua metabolização está acelerada com a idade. (C) Aumentar a dosagem do diazepam, pois a alteração da metabolização na idade determina a não indução à fase REM do sono. (D) Mudar para um benzodiazepínico com menor meia vida e com metabólicos farmacologicamente inativos.",,D,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
59,"Mulher, 57 anos, com câncer de mama, em tratamento quimioterápico iniciado há 60 dias. Refere que há 2 semanas apresenta dispneia aos pequenos esforços e episódios de dispneia paroxística noturna. Ao exame físico, constata-se presença de terceira bulha e estertores em base pulmonar. Ausência de engurgitamento jugular. ECG demonstra taquicardia sinusal e a radiografia de tórax indica inversão do fluxo pulmonar e linhas B de Kerley. Ecocardiograma demonstrou Fração de Ejeção de 45%. O diagnóstico mais provável é:  (A) Tromboembolismo pulmonar por síndrome paraneoplásica. (B) Insuficiência cardíaca secundária à cardiotoxidade de quimioterápico. (C) Insuficiência cardíaca secundária à miocardiopatia por infiltração tumoral no miocárdio. (D) Tamponamento cardíaco por infiltração pericárdica.",,B,prova_consorcio_interinstitucional_teste_do_progresso_2013.pdf
